"category","n"
"Exotic Apparel",82
"Competitive Swimwear",81
"Rash Guard Shirts",81
"Keychains",80
"Lightweight Jackets",80
"Blazers",78
"Shapewear",78
"Travel Duffels",78
"Chokers",77
"Stretch",75
"Tennis & Racquet Sports",74
"Motorcycle",73
"Umbrellas",73
"Trunks",72
"Anklets",71
"Footies & Rompers",71
"Military",71
"Evening Bags",70
"Maternity",70
"Sleep Bottoms",68
"Buttons & Pins",66
"Neckties",66
"Shoelaces",66
"Sun Hats",66
"Thermal Underwear",64
"Card & ID Cases",61
"Compression Pants & Tights",61
"Hiking & Outdoor Recreation",61
"Necklaces & Pendants",61
"Replacement Sunglass Lenses",61
"Satchels",61
"Gym Bags",60
"Pendants",60
"Watch Accessories",60
"Headwear",58
"Messenger Bags",58
"Scrub Tops",58
"Active Sweatshirts",57
"Packing Organizers",57
"Tights",57
"Headbands",55
"Henleys",55
"Tights, Pants & Shorts",55
"Carry-Ons",54
"Denim",54
"Track & Active Jackets",53
"Calf Socks",52
"Skirts & Skorts",52
"Wraps & Pashminas",52
"Overalls",50
"Suitcases",50
"Active Base Layers",49
"Raincoats",49
"Toddler Test",48
"Dress",47
"Flat Front",47
"Industrial & Construction Boots",47
"Kids' Backpacks",47
"One-Piece Suits",47
"Sweatshirts",47
"Wedding Rings",47
"Work & Safety",47
"Cargo",46
"Casual Jackets",46
"Shearling",46
"Slipper Socks",46
"Strand",46
"Undershirts",46
"Fedoras",45
"Active Tracksuits",44
"Shoe Decoration Charms",44
"Special Occasion Accessories",44
"Scarves",43
"Sport Coats & Blazers",43
"Tanks Tops",43
"Ballet & Dance",42
"Clutches",42
"Cold Weather Scarves & Wraps",42
"Fur & Faux Fur",42
"Wristlets",42
"Luggage Tags & Handle Wraps",41
"Neck Gaiters",41
"Suits",41
"Coin Purses & Pouches",40
"Plugs",40
"Luggage Tags",39
"Snow & Rainwear",39
"Wool & Pea Coats",39
"Clogs & Mules",38
"Cuffs & Wraps",38
"Wrap",38
"Camisoles & Tanks",37
"Playwear",37
"Sleep Sets",37
"Stacking",37
"Track Pants",37
"Tunnels",37
"Cuff Links",36
"Hobo Bags",36
"Kids Shoes Union",36
"Props",36
"Boxers",35
"Charm Bracelets",35
"Eyeglass Cases",35
"Fascinators",34
"Fashion Backpacks",34
"Leg Warmers",34
"Newsboy Caps",34
"Outerwear",34
"Shells",34
"Suit Sets",34
"Bandanas",33
"Bow Ties",33
"Handbag Accessories",33
"No Show & Liner Socks",33
"Card Cases",32
"Top 50 by Product Type",32
"Wear to Work",32
"Body Chains",31
"Button-Down Shirts",31
"Folding Umbrellas",31
"Scrub Bottoms",31
"Slips",31
"Stick Umbrellas",31
"Two-Pieces",31
"Windbreakers",31
"Sheers",30
"Tie Sets",30
"Weapons & Armor",30
"Cold Weather",29
"Cowboy Hats",29
"Jewelry Trays",29
"One-Piece Pajamas",29
"Plus-Size Fashion",29
"Sports Duffels",29
"Strands",29
"Suspenders",29
"Swimwear TEST",29
"Boy Shorts",28
"Cotton",28
"Food Service",28
"Loafers",28
"Loose Gemstones",28
"Nursing",28
"Hipsters",27
"Jewelry Towers",27
"Luggage Sets",27
"Wedding Bands",27
"Women's Plus-Size Apparel",27
"Baby Dolls & Chemises",26
"Blanket Sleepers",26
"Robes, Capes & Jackets",26
"Waist Packs",26
"Skirt Sets",25
"Snowboarding",25
"Studs",25
"Swimwear",25
"Trench Coats",25
"Briefcases",24
"Control Panties",24
"Customers' Most-Loved: Sweaters Under $30 pASIN Test",24
"G-Strings & Thongs",24
"Pants & Capris",24
"Trench & Rain",24
"Bustiers & Corsets",23
"Clip-Ons",23
"Insulated",23
"Repair Tools & Kits",23
"Socks & Tights",23
"Wool & Blends",23
"Y-Necklaces",23
"Accessory Sets",22
"Active Skirts",22
"Cabinets & Cases",22
"Engagement Rings",22
"Half Slips",22
"Lingerie Sets",22
"Lockets",22
"Nightgowns",22
"Scrub Sets",22
"Shrugs",22
"Swimwear Sets",22
"Bucket Hats",21
"Business Card Cases",21
"Denim Jackets",21
"Eyeglass Chains",21
"Tennis",21
"Bowling",20
"Bridal Sets",20
"Everyday Apparel Essentials",20
"Handbag Organizers",20
"Health Care & Food Service",20
"Keyrings & Keychains",20
"One Pieces",20
"Shorts & Trunks",20
"Travel Totes",20
"Compression Socks",19
"Drawstring Bags",19
"Girls Sneakers",19
"Graduation Cohort 4 - Daily",19
"Toe Rings",19
"Active Sweatsuits",18
"Belt Buckles",18
"Charm",18
"Equestrian Sports",18
"MFN ONLY V2",18
"Pearl Strands",18
"Rash Guard Sets",18
"Soccer & Futsal",18
"Bibs & Pants",17
"Climbing",17
"Liners & Ankle Socks",17
"Mittens",17
"Night Out",17
"Shoe & Boot Trees",17
"Tights & Pants",17
"Waist Cinchers",17
"Active Skorts",16
"Applique Patches",16
"Baseball & Softball",16
"Clasp",16
"Eternity Rings",16
"Hoodies & Active",16
"Jammers",16
"Over-the-Knee",16
"PattyBoutik Apparel",16
"Snow Suits",16
"Women's Swimwear",16
"Luggage Straps",15
"Quilted Lightweight Jackets",15
"Rain Footwear",15
"Rain Jackets",15
"Sport Sandals",15
"Tie Clips",15
"Women's Halloween Costumes",15
"Insulated Shells",14
"Money Clips",14
"Screws",14
"Scrub Jackets",14
"Shoe Care Treatments & Dyes",14
"Sport Headbands",14
"Track & Field & Cross Country",14
"Footies",13
"Footwear",13
"Martial Arts",13
"Overalls & Coveralls",13
"Passport Covers",13
"Pocket Watches",13
"Travel Wallets",13
"American Football",12
"Baseball",12
"Beanies & Knit Hats",12
"Casual & Dress Socks",12
"Cold Weather Headbands",12
"Handbag Hangers",12
"Identification",12
"Jewelry Armoires",12
"Mary Jane",12
"Motorcycle & Combat",12
"Women's Apparel",12
"Wrestling",12
"Arm Warmers",11
"Ball",11
"Business Pricing & Quantity Discounts",11
"Clearance",11
"Compression Shorts",11
"Earmuffs",11
"Fashion-forward finds",11
"Football",11
"Healthcare Uniforms",11
"Shoe Treatments & Polishes",11
"Tapers",11
"Aprons",10
"Backpacking Boots",10
"Berets",10
"Chef Jackets",10
"Collars",10
"Faux Body Piercing Jewelry",10
"Handkerchiefs",10
"Hunting",10
"Minimizers",10
"School Uniforms",10
"Snake",10
"Training Bras",10
"Visors",10
"Amazon Fashion 3",9
"Anoraks",9
"Checkbook Covers",9
"Garment Bags",9
"Pads & Enhancers",9
"Suit Separates",9
"Watch Winders",9
"Wedding Dresses",9
"Active Underwear",8
"Adhesive Bras",8
"Bomber Hats",8
"Breeches",8
"Bridal Accessories",8
"Bridal Veils",8
"Cardigan",8
"Dress Coats",8
"Gym Totes",8
"Handbags & Shoulder Bags",8
"Ice & Snow Grips",8
"Ice Hockey",8
"Ice Skating",8
"Kids' Luggage",8
"Kids' and Baby Halloween Costumes",8
"Layette Sets",8
"Military & Tactical",8
"Pullover",8
"Shoe Horns & Boot Jacks",8
"Sport Watches",8
"Tie Pins",8
"Under $30",8
"Varsity Jackets",8
"Volleyball",8
"Athletic & Outdoor",7
"Athletic Supporters",7
"Cheerleading",7
"Cold Weather Scarves",7
"Intimates",7
"Jewelry Rolls",7
"Jiu-Jitsu",7
"Luggage Locks",7
"Luggage Scales",7
"On Sale Now",7
"Passport Wallets",7
"Tuxedos",7
"Under $50",7
"100% Plus (No Title Match)",6
"Active Dresses",6
"Bib Shorts",6
"Bibs",6
"Bloomers, Diaper Covers & Underwear",6
"Bolo Ties",6
"Boys Athletic",6
"Boys' Swimwear",6
"Equestrian Sport Boots",6
"Full Slips",6
"ID Cases",6
"Italian Style",6
"Kids Shoes",6
"Lab Coats",6
"Men's Halloween Costumes",6
"Motorcycle & ATV Casual Footwear",6
"Oxford & Derby",6
"Promise Rings",6
"Racquet Sports",6
"Retainers",6
"Shoe Bags",6
"Shoe Brushes",6
"Smartwatches",6
"Snow Pants & Bibs",6
"Suit Jackets",6
"Swim Diapers",6
"Two-Piece Suits",6
"Women's Comfort Shoes FA Test",6
"Bra Extenders",5
"Breast Petals",5
"Cover-Ups & Wraps",5
"Designer Shoes & Handbags",5
"Dresses Under $50",5
"Gemstones",5
"Gymnastics",5
"Hats",5
"Jumpsuits & Rompers",5
"Knits & Tees",5
"Men's Watches Under $50",5
"Pocket Watch Chains",5
"Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby",5
"Shirt Studs",5
"Shoe Dryers",5
"Shoe Polishes",5
"Skirts, Skooters & Skorts",5
"Softball",5
"Sunsuits",5
"Test Color",5
"Water & Stain Treatments",5
"Women's Dresses Under $25",5
"Women's Sandal Markdowns",5
"Workout Top & Bottom Sets",5
"Boys Active",4
"Caps",4
"Clothing Outlet",4
"Cover-Up Sets",4
"Earring Jackets",4
"Eyewear",4
"Feather Boas",4
"Girls Apparel",4
"Girls Boots, Clogs & Mules",4
"Girls Sandals & Pumps",4
"Hats & Headwear",4
"Hosiery",4
"Karate",4
"Kids",4
"Kids Activewear",4
"Leotards",4
"MFN Only",4
"Markdowns",4
"Pajama Bottoms",4
"Rain Hats",4
"Sleep Tops",4
"Snow Boots",4
"Softball & Baseball",4
"Sunglasses & Eyewear",4
"Tankini Sets",4
"Teddies & Bodysuits",4
"Unisex Baby Clothing",4
"Wind & Rain",4
"4th of July Up to 60% Off",3
"Active Vests",3
"Anniversary Rings",3
"Apparel and accessories Made in Italy",3
"Bib Pants",3
"Bloomers",3
"Boxing",3
"Button-Down & Dress Shirts",3
"Cleaning & Care",3
"Diamonds",3
"Field Hockey & Lacrosse",3
"Green Lit 241",3
"Green Monday | 30% Off for Men",3
"Green Monday | 30% Off for Women",3
"Handbags Under $30",3
"Lingerie Semi-Annual Savings",3
"Men's Swimwear",3
"Nursing & Maternity Bras",3
"Oxford & Loafer",3
"Oxfords & Loafers",3
"Prime Wardrobe: Columbia Try Before You Buy",3
"Ring Enhancers",3
"Rugby",3
"Shoe Care Kits",3
"Shop by Designer",3
"Street, Surf & Skate",3
"Suit Pants",3
"Tights & Hosiery",3
"Tops & Corsets",3
"20% Off Prime Members Exclusive | Men",2
"Amazon Fashion Sales & Deals",2
"Bags Made in Italy",2
"Belly Bands",2
"Big Kid Size 7",2
"Bodystockings",2
"Boys Sneakers (no fs)",2
"California Costumes",2
"Casual Dresses Under $50",2
"Collar Stays",2
"Cravats",2
"Facial Hair",2
"Fashion Watches",2
"Food Service Shoes",2
"Food Service Uniforms",2
"Fun World Costumes",2
"Girls Sneakers (fs, no puma)",2
"Girls Swimwear 2",2
"Girls' Swimwear",2
"Green Lit 197",2
"Green Lit 641",2
"Jackets and Coats",2
"Kids Swimwear",2
"Kids' Clothing",2
"Kids' Shoes Markdown",2
"Kids' Watches",2
"Leg Warmers & Hosiery",2
"Makeup, Facial Hair & Adhesives",2
"Men's fashion Made in Italy",2
"Motorcycle & ATV Casual Wear",2
"New Looks from Prime Wardrobe",2
"Outlet: Clothing",2
"Pleated",2
"Premium Fashion Testing",2
"Prime Day: 30% off select fashion",2
"Restaurant Store",2
"Shirts Under $30",2
"Splurgeworthy Womens Shoes",2
"Straps",2
"Tees & Tops for College under $25",2
"Top 1,000 3P ASINs Under $15",2
"Trunks & Shorts",2
"Tuxedo Shirts",2
"Ugly Holiday Sweaters (and More) for the Family",2
"Undershirts, Tanks & Camisoles",2
"Up to 20% Off Select Jewelry & Watches",2
"Veterans Day Savings: 20% or More Off",2
"Wallets & Money Organizers",2
"Women's Festive Wear",2
"$50 and Under Backpacks",1
"100% Plus & Featured Brands",1
"20% Off $100 Women's & Men's",1
"20% Off $80 Women's Shoes & Handbags",1
"20% Off President's Day Savings | Kids & Baby",1
"20% Off Prime Members Exclusive | Kids",1
"25% Off Harley Davidson Footwear",1
"4+ Stars: Clothes, Shoes and Jewelry",1
"Adult Apparel",1
"Amazon Private and Exclusive Brands",1
"Associates top products",1
"BIBA End of Season Sale",1
"Baby Boys Shoes Union",1
"Baby Boys' Swimwear",1
"Baby Girls' Clothes Under $10",1
"Baby Girls' Outerwear",1
"Baby Girls' Swimwear",1
"Backpacks Under $25",1
"Backpacks Under $50",1
"Ballet",1
"Big Kid Size 8",1
"Birthstone Jewelry Gifts",1
"Boys Sneakers (fs, no puma)",1
"Boys' Character Shop",1
"Build Your Wardrobe: Cardigans for Her",1
"Bulk Buying & Case Packs",1
"Cat T-Shirts",1
"Chef Pants",1
"Christening",1
"Civil Service",1
"Clothing Coinstar Exclusive",1
"Clothing Outlet for Rank",1
"Coats & Jackets under $75",1
"Commuter Pass Cases",1
"Compression Arm Sleeves",1
"Cross-Body Sling Bags",1
"Cummerbunds",1
"Curated Brands: Plus Size",1
"Deal of the Day: Up to 40% Off Men's PUMA Sneakers",1
"Diamond Jewelry Store",1
"Diamond Jewelry starting $49",1
"Dresses & Jumpers",1
"Dresses- Checks",1
"Editor's Picks: Women's New Arrivals",1
"Electric Shoe Polishers",1
"Expert Beauty Trends",1
"Fall-Ready Shirtdresses",1
"Family Athleisure",1
"Fashion Gift Guide: For the Master of Make-Believe",1
"Feminine Spring Blouses",1
"Fine Jewelry for Women",1
"Free One-Day Shipping on Jewelry, Watches, & More",1
"Garter Belts",1
"Garters & Garter Belts",1
"Girls Athletic & Oxfords",1
"Girls Flats & Loafers",1
"Girls Leggings",1
"Girls Pants",1
"Girls Sneakers (no fs)",1
"Girls' School Essentials",1
"Girls' Sneakers under $35",1
"Graduation Cohort 1 - Daily",1
"HG Frequent Plus 4+ Stars",1
"Hand Fans",1
"Holiday Together: Holiday Happy",1
"Kids Apparel",1
"Kids Sleepwear & Robes",1
"Kids Sweaters",1
"Knee-High Socks",1
"Kung Fu",1
"Lee Lowest Prices Of The Season",1
"Luggage Handle Wraps",1
"Made in USA",1
"Memorial Day Savings 2016",1
"Men's Action Sport Watches",1
"Men's Activewear: Bottoms",1
"Men's Denim Updates",1
"Men's Off-to-College Essentials",1
"Men's Outerwear: Parka",1
"Men's Shorts Under $25 - Prod",1
"Men's Slippers Under $40",1
"Most Gifted Styles",1
"Must See Deals",1
"Nightshirts",1
"Not-Your-Mother's Cableknit",1
"Off to College Fashion",1
"Old Glory Exclusives",1
"Over $50",1
"PD23_All fashion deals running on all of lead up v5",1
"PP Boots Under $75",1
"PP Slippers Under $40",1
"Paddle Fans",1
"Pajamas, Loungewear & More",1
"Pendant Enhancers",1
"Plain Silver Jewelry",1
"Pocket Squares",1
"Premium Tops",1
"Pretty Winter Floral Prints",1
"Prime Wardrobe: Levi's Try Before You Buy",1
"Prime Wardrobe: New Arrivals",1
"Prime Wardrobe: Under Armour",1
"Prom",1
"Prom- Dresses",1
"Rain Boots",1
"Rhinestones earrings",1
"Ring Sizers",1
"Save up to X% on Burt's Bees",1
"Shoe Measuring Devices",1
"Shop Your Style: Classic",1
"Shop by Occasion for Her: Vacation",1
"Shopbop September 2019 EOTS",1
"Ski Suits",1
"Skirts, Scooters & Skorts",1
"Skorts",1
"Softshell Jackets",1
"Special Occasion Gloves",1
"Students' Top Rated",1
"Sunglasses Starting at $15",1
"Swim Pants",1
"Tactical boots",1
"Taekwondo",1
"Take 25% Off | Holiday Savings for Women",1
"The Women's Warm-Weather Edit",1
"Toddler Size 6",1
"Toddler Size 7",1
"Toddler Size 8",1
"Top Brands Under $149",1
"Top Gifts for the Family: Colorful Crocs",1
"Top Rated Fashion Capital Favorites",1
"Total Sleepwear & Robes",1
"Total Sweaters",1
"TurboTax Refund Bonus Exclusive: 20% Off Select Shoes",1
"Undershorts",1
"Uniform Dress Shoes",1
"Up to 30% off Shoes, Handbags and More",1
"Up to 30% off select shoes from Clarks, ECCO, and more",1
"Up to 70% Off Men's Mid-Summer Savings",1
"Walking Sticks & Canes",1
"Wands",1
"Wide Leg Pants",1
"Women's Activewear Under $25",1
"Women's Boots Under $75",1
"Women's Fall Boots",1
"Women's Maxi Dresses",1
"Women's Oversized Blazers for Fall",1
"Women's Romantic Loungewear",1
"Women's Shoes",1
"Women's Summer-Ready Skirts",1
"Women's Sweaters Under $30",1
"Women's Sweaters Under $50",1
"Women's Swim Under $25",1
"Women's leopard print dresses",1
"Women's sleepwear, swimwear, and more from Ekouaer and AI'MAGE",1
"Womens New Arrivals",1
"Work Dresses Under $50",1
