sample_id,scenario_type,category_bucket,difficulty_bucket,ground_truth.parent_asin,user_profile.average_prior_rating,user_profile.preference_tags,user_profile.purchase_frequency,user_profile.rating_style,user_profile.summary
public_0013,intent_override,clothing,hard,B0C65TFM9F,4.0,"comfort, material",3-4 prior purchases,mixed,"Prior purchases emphasize comfort, material; ratings are mixed."
public_0014,browsing,clothing,medium,B088QF5G58,5.0,"warmth, comfort, style, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize warmth, comfort, style, fit; ratings are usually positive."
public_0015,browsing,clothing,medium,B08513YB2T,5.0,material,3-4 prior purchases,usually positive,Prior purchases emphasize material; ratings are usually positive.
public_0016,browsing,clothing,medium,B07PH3X7QK,5.0,"comfort, fit, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, durability, style; ratings are usually positive."
public_0017,buying,clothing,easy,B089RXP8K2,5.0,"fit, comfort, material",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material; ratings are usually positive."
public_0018,buying,clothing,easy,B07H3T5YGH,4.0,"material, fit",3-4 prior purchases,mixed,"Prior purchases emphasize material, fit; ratings are mixed."
public_0019,browsing,clothing,medium,B076VQQ962,5.0,"weather, comfort, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize weather, comfort, durability, style; ratings are usually positive."
public_0020,buying,clothing,easy,B08P4SSFX4,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0021,browsing,clothing,medium,B07K4FX4WZ,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0022,buying,clothing,easy,B08F5G843H,5.0,"comfort, fit, style, material",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, style, material; ratings are usually positive."
public_0023,intent_override,clothing,hard,B08ZKFD4GM,5.0,"comfort, material, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, material, fit, style; ratings are usually positive."
public_0024,buying,clothing,easy,B076X3JXMW,5.0,"material, comfort, performance, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort, performance, style; ratings are usually positive."
public_0025,browsing,clothing,medium,B0BRS1DHVQ,3.0,"material, fit, comfort, style",3-4 prior purchases,critical,"Prior purchases emphasize material, fit, comfort, style; ratings are critical."
public_0026,buying,clothing,easy,B093R14VP1,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0027,buying,clothing,easy,B0858VDFDW,5.0,"style, comfort, fit, material",3-4 prior purchases,usually positive,"Prior purchases emphasize style, comfort, fit, material; ratings are usually positive."
public_0028,buying,clothing,easy,B0B9ZYDDZ1,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0029,buying,clothing,easy,B01IAKCZEK,5.0,"comfort, material, style, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, material, style, fit; ratings are usually positive."
public_0030,buying,clothing,easy,B09V5RTXG9,4.0,"material, comfort, fit, style",3-4 prior purchases,mixed,"Prior purchases emphasize material, comfort, fit, style; ratings are mixed."
public_0031,buying,clothing,easy,B0BQDTGHMZ,5.0,"material, comfort, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort, fit, style; ratings are usually positive."
public_0032,buying,clothing,easy,B0834HZQZF,5.0,"material, performance, style, warmth",3-4 prior purchases,usually positive,"Prior purchases emphasize material, performance, style, warmth; ratings are usually positive."
public_0033,browsing,clothing,medium,B08134XNNB,4.0,"material, comfort, style, durability",3-4 prior purchases,mixed,"Prior purchases emphasize material, comfort, style, durability; ratings are mixed."
public_0034,intent_override,clothing,hard,B07Q9PNNB5,4.0,"style, material, fit, comfort",3-4 prior purchases,mixed,"Prior purchases emphasize style, material, fit, comfort; ratings are mixed."
public_0035,boundary,clothing,medium,B0BN6CCHB7,5.0,"material, performance, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize material, performance, durability; ratings are usually positive."
public_0036,browsing,clothing,medium,B08BWR1T58,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0037,browsing,clothing,medium,B08KKBBMMD,1.0,"material, fit",3-4 prior purchases,critical,"Prior purchases emphasize material, fit; ratings are critical."
public_0038,intent_override,clothing,hard,B07B5RGY2N,5.0,"style, fit, material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize style, fit, material, comfort; ratings are usually positive."
public_0039,browsing,clothing,medium,B07TZCJW9X,5.0,"comfort, performance, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, performance, durability, style; ratings are usually positive."
public_0040,browsing,clothing,medium,B08ZJWTCDR,4.0,"material, comfort, fit, style",3-4 prior purchases,mixed,"Prior purchases emphasize material, comfort, fit, style; ratings are mixed."
public_0041,boundary,clothing,medium,B09MSY8926,5.0,"fit, material, comfort, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, material, comfort, style; ratings are usually positive."
public_0042,buying,clothing,easy,B01LWOGORL,5.0,"fit, material, performance, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, material, performance, style; ratings are usually positive."
public_0043,browsing,clothing,medium,B0C1KNGLPX,5.0,"style, fit, material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize style, fit, material, comfort; ratings are usually positive."
public_0044,buying,clothing,easy,B09BQ4G5BD,5.0,"style, comfort, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize style, comfort, fit; ratings are usually positive."
public_0045,buying,clothing,easy,B07Z8NTWVV,1.0,"material, fit",3-4 prior purchases,critical,"Prior purchases emphasize material, fit; ratings are critical."
public_0046,intent_override,clothing,hard,B0B42PVX1F,3.0,"fit, comfort, material, warmth",3-4 prior purchases,critical,"Prior purchases emphasize fit, comfort, material, warmth; ratings are critical."
public_0047,browsing,clothing,medium,B0BYZX7B1L,5.0,"fit, comfort, material, performance",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material, performance; ratings are usually positive."
public_0048,browsing,clothing,medium,B00VQBMJUQ,5.0,"fit, comfort, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, durability, style; ratings are usually positive."
public_0049,browsing,clothing,medium,B08G4WVYLJ,5.0,"fit, material, style, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, material, style, comfort; ratings are usually positive."
public_0050,boundary,clothing,medium,B07BYR6T7W,5.0,"comfort, fit, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, durability, style; ratings are usually positive."
public_0051,browsing,clothing,medium,B07N1624C5,5.0,"fit, comfort, material, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material, durability; ratings are usually positive."
public_0052,intent_override,clothing,hard,B09G2ZNZY4,5.0,"comfort, style, material",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, style, material; ratings are usually positive."
public_0053,buying,clothing,easy,B07TZK3GZK,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0054,buying,clothing,easy,B08PP1ZJQ5,5.0,"weather, comfort, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize weather, comfort, durability, style; ratings are usually positive."
public_0055,browsing,clothing,medium,B0C1TDJ9HZ,5.0,"fit, comfort, material, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material, style; ratings are usually positive."
public_0056,browsing,clothing,medium,B0B2RF64YD,1.0,"fit, durability, style, material",3-4 prior purchases,critical,"Prior purchases emphasize fit, durability, style, material; ratings are critical."
public_0057,browsing,clothing,medium,B085RX192V,5.0,general shopping,3-4 prior purchases,usually positive,Prior purchases emphasize general shopping; ratings are usually positive.
public_0058,buying,clothing,easy,B08L83YQTZ,5.0,"material, durability, fit, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize material, durability, fit, comfort; ratings are usually positive."
public_0059,browsing,clothing,medium,B01H6DGA16,5.0,"fit, style, material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, style, material, comfort; ratings are usually positive."
public_0060,browsing,clothing,medium,B08R61K9B9,4.0,"material, fit, style, warmth",3-4 prior purchases,mixed,"Prior purchases emphasize material, fit, style, warmth; ratings are mixed."
public_0061,buying,clothing,easy,B08HCP9YTV,5.0,"material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort; ratings are usually positive."
public_0062,browsing,clothing,medium,B015K51VPM,4.0,style,3-4 prior purchases,mixed,Prior purchases emphasize style; ratings are mixed.
public_0063,browsing,clothing,medium,B09MKL5TBK,3.0,"comfort, fit, style, durability",3-4 prior purchases,critical,"Prior purchases emphasize comfort, fit, style, durability; ratings are critical."
public_0064,intent_override,clothing,hard,B019DU687Q,4.0,"comfort, performance, durability, style",3-4 prior purchases,mixed,"Prior purchases emphasize comfort, performance, durability, style; ratings are mixed."
public_0065,buying,clothing,easy,B0BSQ9TCYC,5.0,"material, fit, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit, comfort; ratings are usually positive."
public_0066,buying,clothing,easy,B0BFLFSB2Y,2.0,"fit, comfort, material, performance",3-4 prior purchases,critical,"Prior purchases emphasize fit, comfort, material, performance; ratings are critical."
public_0067,buying,clothing,easy,B09G9BXJZM,5.0,"comfort, style, material",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, style, material; ratings are usually positive."
public_0068,intent_override,clothing,hard,B08SH8GF6K,5.0,"fit, material, comfort, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, material, comfort, style; ratings are usually positive."
public_0069,browsing,clothing,medium,B07ZFBQ76H,5.0,"warmth, material, comfort, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize warmth, material, comfort, fit; ratings are usually positive."
public_0070,browsing,clothing,medium,B010LVBVKA,5.0,"comfort, style, fit, performance",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, style, fit, performance; ratings are usually positive."
public_0071,intent_override,clothing,hard,B06XRFSDL4,5.0,"material, performance, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, performance, durability, style; ratings are usually positive."
public_0072,intent_override,clothing,hard,B09JG4V9ZR,2.0,"fit, material, style",3-4 prior purchases,critical,"Prior purchases emphasize fit, material, style; ratings are critical."
public_0073,browsing,clothing,medium,B07QPM54V7,5.0,"fit, material, comfort, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, material, comfort, style; ratings are usually positive."
public_0074,browsing,clothing,medium,B07N15QTKC,3.0,style,3-4 prior purchases,critical,Prior purchases emphasize style; ratings are critical.
public_0075,browsing,clothing,medium,B08L13LJ5M,5.0,"material, comfort, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort, fit, style; ratings are usually positive."
public_0076,browsing,clothing,medium,B07XT6PLTB,5.0,"style, comfort, performance, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize style, comfort, performance, fit; ratings are usually positive."
public_0077,browsing,clothing,medium,B077JDSZ27,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0078,intent_override,clothing,hard,B0C5RLJDSF,5.0,"material, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit, style; ratings are usually positive."
public_0079,browsing,clothing,medium,B0BFRMX3JG,1.0,"style, fit, comfort, durability",3-4 prior purchases,critical,"Prior purchases emphasize style, fit, comfort, durability; ratings are critical."
public_0080,intent_override,clothing,hard,B0BPRQY4CF,1.0,"durability, material, comfort, fit",3-4 prior purchases,critical,"Prior purchases emphasize durability, material, comfort, fit; ratings are critical."
public_0081,browsing,clothing,medium,B0BSS36XCS,5.0,"fit, material, style, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, material, style, durability; ratings are usually positive."
public_0082,buying,clothing,easy,B09BPZCWDP,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0083,buying,clothing,easy,B0BPMCJ1RD,1.0,"fit, material, comfort, style",3-4 prior purchases,critical,"Prior purchases emphasize fit, material, comfort, style; ratings are critical."
public_0084,intent_override,clothing,hard,B08WKZNFG2,2.0,"material, comfort, fit, performance",3-4 prior purchases,critical,"Prior purchases emphasize material, comfort, fit, performance; ratings are critical."
public_0085,browsing,clothing,medium,B0C3YJMRRD,5.0,"fit, comfort, material, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material, durability; ratings are usually positive."
public_0086,browsing,clothing,medium,B07WN8N9Q7,4.0,"comfort, material, fit, durability",3-4 prior purchases,mixed,"Prior purchases emphasize comfort, material, fit, durability; ratings are mixed."
public_0087,browsing,clothing,medium,B0BT158RRR,5.0,"material, fit, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit, comfort; ratings are usually positive."
public_0088,buying,clothing,easy,B07Z6J5N6Y,5.0,"comfort, fit, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, durability, style; ratings are usually positive."
public_0089,intent_override,clothing,hard,B0BXMCZLZV,5.0,"comfort, style, fit, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, style, fit, durability; ratings are usually positive."
public_0090,buying,clothing,easy,B07MGR6D5M,5.0,material,3-4 prior purchases,usually positive,Prior purchases emphasize material; ratings are usually positive.
public_0091,browsing,clothing,medium,B0C5XB43GG,5.0,"performance, comfort, fit, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize performance, comfort, fit, durability; ratings are usually positive."
public_0092,browsing,clothing,medium,B07FKNZC43,4.0,"material, comfort, fit, style",3-4 prior purchases,mixed,"Prior purchases emphasize material, comfort, fit, style; ratings are mixed."
public_0093,buying,clothing,easy,B07PYB8F1G,5.0,"performance, fit, comfort, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize performance, fit, comfort, durability; ratings are usually positive."
public_0094,buying,clothing,easy,B01L99SW78,3.0,"fit, comfort, material, performance",3-4 prior purchases,critical,"Prior purchases emphasize fit, comfort, material, performance; ratings are critical."
public_0095,buying,clothing,easy,B09N78FT2W,5.0,"warmth, weather, comfort, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize warmth, weather, comfort, fit; ratings are usually positive."
public_0096,intent_override,clothing,hard,B074K2QX3M,5.0,"comfort, material, fit, performance",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, material, fit, performance; ratings are usually positive."
public_0097,buying,clothing,easy,B0785RCKBT,1.0,"fit, comfort, material, durability",3-4 prior purchases,critical,"Prior purchases emphasize fit, comfort, material, durability; ratings are critical."
public_0098,browsing,clothing,medium,B08CZ34D75,5.0,"performance, comfort, style, material",3-4 prior purchases,usually positive,"Prior purchases emphasize performance, comfort, style, material; ratings are usually positive."
public_0099,browsing,clothing,medium,B0971YMPCR,4.0,"fit, comfort, material, durability",3-4 prior purchases,mixed,"Prior purchases emphasize fit, comfort, material, durability; ratings are mixed."
public_0100,browsing,clothing,medium,B002OHE4D6,5.0,"fit, comfort, material, performance",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material, performance; ratings are usually positive."
public_0101,buying,clothing,easy,B07QMS8TX8,5.0,"material, comfort, fit, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort, fit, durability; ratings are usually positive."
public_0102,browsing,clothing,medium,B07PWZXZVX,2.0,"comfort, style, fit, material",3-4 prior purchases,critical,"Prior purchases emphasize comfort, style, fit, material; ratings are critical."
public_0103,intent_override,clothing,hard,B0BT8T2FQ3,1.0,"material, comfort, fit, style",3-4 prior purchases,critical,"Prior purchases emphasize material, comfort, fit, style; ratings are critical."
public_0104,boundary,clothing,medium,B00QSAICLU,3.0,"comfort, durability, fit, material",3-4 prior purchases,critical,"Prior purchases emphasize comfort, durability, fit, material; ratings are critical."
public_0105,browsing,clothing,medium,B07Q46M2J2,5.0,"comfort, weather, material, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, weather, material, durability; ratings are usually positive."
public_0106,buying,clothing,easy,B0776SVXW9,5.0,"material, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit, style; ratings are usually positive."
public_0107,buying,clothing,easy,B01KPFK9ZA,2.0,"material, fit",3-4 prior purchases,critical,"Prior purchases emphasize material, fit; ratings are critical."
public_0108,buying,clothing,easy,B01I21CI7G,5.0,"material, comfort, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort, fit, style; ratings are usually positive."
public_0109,buying,clothing,easy,B016OT9D3K,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0110,browsing,clothing,medium,B0C277G9FW,5.0,"fit, comfort, style",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, style; ratings are usually positive."
public_0111,buying,clothing,easy,B07H7BWMQF,5.0,"style, durability, material",3-4 prior purchases,usually positive,"Prior purchases emphasize style, durability, material; ratings are usually positive."
public_0112,boundary,clothing,medium,B086ZNJY8K,4.0,"warmth, weather, comfort, performance",3-4 prior purchases,mixed,"Prior purchases emphasize warmth, weather, comfort, performance; ratings are mixed."
public_0113,browsing,clothing,medium,B08CTFPBN5,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0114,buying,clothing,easy,B07H34Z5V6,5.0,"fit, style, comfort, material",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, style, comfort, material; ratings are usually positive."
public_0115,browsing,clothing,medium,B08VWZBYPY,5.0,"comfort, fit, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, durability, style; ratings are usually positive."
public_0116,buying,clothing,easy,B07S2Y3THP,5.0,"material, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize material, comfort; ratings are usually positive."
public_0117,buying,clothing,easy,B07HJ18QRQ,5.0,"style, comfort, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize style, comfort, durability; ratings are usually positive."
public_0118,buying,clothing,easy,B09M72C8PG,3.0,"comfort, fit, material, style",3-4 prior purchases,critical,"Prior purchases emphasize comfort, fit, material, style; ratings are critical."
public_0119,buying,clothing,easy,B0BBLR3QB2,5.0,"comfort, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, style; ratings are usually positive."
public_0120,browsing,clothing,medium,B08GPGX2QG,5.0,comfort,3-4 prior purchases,usually positive,Prior purchases emphasize comfort; ratings are usually positive.
public_0121,browsing,clothing,medium,B08HS712ZB,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0122,browsing,clothing,medium,B074KJ49F2,5.0,"fit, comfort, style, material",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, style, material; ratings are usually positive."
public_0123,intent_override,clothing,hard,B07CZ84YFJ,3.0,"style, fit, material, comfort",3-4 prior purchases,critical,"Prior purchases emphasize style, fit, material, comfort; ratings are critical."
public_0124,buying,clothing,easy,B07TN1845M,3.0,"fit, weather, durability, comfort",3-4 prior purchases,critical,"Prior purchases emphasize fit, weather, durability, comfort; ratings are critical."
public_0125,intent_override,clothing,hard,B07VCYFB5D,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0126,browsing,clothing,medium,B09M84R91V,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0127,browsing,clothing,medium,B0B8DX189T,4.0,"material, fit, comfort, warmth",3-4 prior purchases,mixed,"Prior purchases emphasize material, fit, comfort, warmth; ratings are mixed."
public_0128,browsing,clothing,medium,B0BNP1RZ2W,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0129,buying,clothing,easy,B0936ZJJ68,5.0,"fit, material",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, material; ratings are usually positive."
public_0130,intent_override,clothing,hard,B07X9V6HZX,3.0,"material, fit",3-4 prior purchases,critical,"Prior purchases emphasize material, fit; ratings are critical."
public_0131,boundary,clothing,medium,B07PQQQ8ZL,5.0,"weather, comfort, style",3-4 prior purchases,usually positive,"Prior purchases emphasize weather, comfort, style; ratings are usually positive."
public_0132,buying,clothing,easy,B08X2X83DW,3.0,"comfort, warmth, style",3-4 prior purchases,critical,"Prior purchases emphasize comfort, warmth, style; ratings are critical."
public_0133,buying,clothing,easy,B01KILT64Q,5.0,"material, fit, style",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit, style; ratings are usually positive."
public_0134,browsing,clothing,medium,B081SF3QRL,5.0,"style, fit, comfort",3-4 prior purchases,usually positive,"Prior purchases emphasize style, fit, comfort; ratings are usually positive."
public_0135,buying,clothing,easy,B0C6BL4RNN,5.0,"fit, comfort, material",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material; ratings are usually positive."
public_0136,buying,clothing,easy,B091F54MWM,5.0,"comfort, style, material",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, style, material; ratings are usually positive."
public_0137,browsing,clothing,medium,B01N67CJGX,4.0,"comfort, weather, material, durability",3-4 prior purchases,mixed,"Prior purchases emphasize comfort, weather, material, durability; ratings are mixed."
public_0138,browsing,clothing,medium,B0B4BRW7JT,2.0,"performance, comfort, material, durability",3-4 prior purchases,critical,"Prior purchases emphasize performance, comfort, material, durability; ratings are critical."
public_0139,browsing,clothing,medium,B09SGYPW3M,5.0,"material, fit, comfort, durability",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit, comfort, durability; ratings are usually positive."
public_0140,browsing,clothing,medium,B09BT6LSJV,3.0,"fit, comfort, material, style",3-4 prior purchases,critical,"Prior purchases emphasize fit, comfort, material, style; ratings are critical."
public_0141,browsing,clothing,medium,B0BLH7JHG8,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0142,intent_override,clothing,hard,B07YRGC1Q1,5.0,"warmth, performance, material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize warmth, performance, material, fit; ratings are usually positive."
public_0143,buying,clothing,easy,B01H54X6CM,2.0,"material, style, fit, comfort",3-4 prior purchases,critical,"Prior purchases emphasize material, style, fit, comfort; ratings are critical."
public_0144,intent_override,clothing,hard,B08LMMDYV7,2.0,"comfort, material",3-4 prior purchases,critical,"Prior purchases emphasize comfort, material; ratings are critical."
public_0145,buying,clothing,easy,B00IJZZWGA,3.0,"style, comfort, durability",3-4 prior purchases,critical,"Prior purchases emphasize style, comfort, durability; ratings are critical."
public_0146,buying,clothing,easy,B0BCQWYQLQ,3.0,"style, comfort, material, fit",3-4 prior purchases,critical,"Prior purchases emphasize style, comfort, material, fit; ratings are critical."
public_0147,browsing,clothing,medium,B077276QGC,4.0,"material, comfort, fit, style",3-4 prior purchases,mixed,"Prior purchases emphasize material, comfort, fit, style; ratings are mixed."
public_0148,buying,clothing,easy,B0BQC2NRG2,3.0,"fit, comfort, material, performance",3-4 prior purchases,critical,"Prior purchases emphasize fit, comfort, material, performance; ratings are critical."
public_0149,buying,clothing,easy,B07CBYYHTL,5.0,"fit, performance, material",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, performance, material; ratings are usually positive."
public_0150,browsing,clothing,medium,B07P6MPQY5,3.0,"material, fit",3-4 prior purchases,critical,"Prior purchases emphasize material, fit; ratings are critical."
public_0151,browsing,clothing,medium,B08CFNQNJK,5.0,"comfort, fit, durability, material",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, durability, material; ratings are usually positive."
public_0152,buying,clothing,easy,B000EQU0NW,5.0,"comfort, fit, durability, style",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, durability, style; ratings are usually positive."
public_0153,browsing,clothing,medium,B07BMJ77FR,2.0,"comfort, fit, style, durability",3-4 prior purchases,critical,"Prior purchases emphasize comfort, fit, style, durability; ratings are critical."
public_0154,buying,clothing,easy,B00CYNKSTE,1.0,"material, comfort, fit, style",3-4 prior purchases,critical,"Prior purchases emphasize material, comfort, fit, style; ratings are critical."
public_0155,buying,clothing,easy,B0C4VLWWYY,5.0,"style, fit, comfort, material",3-4 prior purchases,usually positive,"Prior purchases emphasize style, fit, comfort, material; ratings are usually positive."
public_0156,buying,clothing,easy,B0C3KZXV4B,4.0,"fit, comfort, style",3-4 prior purchases,mixed,"Prior purchases emphasize fit, comfort, style; ratings are mixed."
public_0157,buying,clothing,easy,B00BCHDM14,5.0,"comfort, fit, material, warmth",3-4 prior purchases,usually positive,"Prior purchases emphasize comfort, fit, material, warmth; ratings are usually positive."
public_0158,browsing,clothing,medium,B012ZM6RGQ,1.0,"warmth, comfort, material, fit",3-4 prior purchases,critical,"Prior purchases emphasize warmth, comfort, material, fit; ratings are critical."
public_0159,buying,clothing,easy,B00UHLFR32,4.0,"material, comfort, fit, style",3-4 prior purchases,mixed,"Prior purchases emphasize material, comfort, fit, style; ratings are mixed."
public_0160,buying,clothing,easy,B01AAANF2Y,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0161,buying,clothing,easy,B0B6N6TJ6V,5.0,"style, fit, comfort, material",3-4 prior purchases,usually positive,"Prior purchases emphasize style, fit, comfort, material; ratings are usually positive."
public_0162,browsing,clothing,medium,B0B71JNMQY,5.0,"material, fit",3-4 prior purchases,usually positive,"Prior purchases emphasize material, fit; ratings are usually positive."
public_0163,buying,clothing,easy,B0834T68X3,5.0,"fit, comfort, material, performance",3-4 prior purchases,usually positive,"Prior purchases emphasize fit, comfort, material, performance; ratings are usually positive."
